Version,Engine,Name,Mean,Deviation,MOE,RME,SEM
1.8.51,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00011302510245901638,2.914550289552757e-06,8.245310331775932e-07,0.7295114228952576,4.2067909855999655e-07
1.8.51,SM,[coll arr] (array-reduce coll + 0),1.1613625433347956e-05,3.0625392392256634e-07,7.503221136102875e-08,0.6460705297553117,3.828174049032079e-08
1.8.51,SM,[coll arr] (array-reduce coll sum 0),8.738538482911919e-05,2.3150300474338335e-06,5.907268318960598e-07,0.6760018658168265,3.013912407632958e-07
1.8.51,JSC,[x 1] (identity x),8.744032532100144e-10,2.1024032922551002e-11,5.0342490637423786e-12,0.5757353995723585,2.568494420276724e-12
1.8.51,JSC,[] (symbol (quote foo)),7.240055845182413e-09,2.1210276229042081e-10,5.117176869227926e-11,0.7067869335058974,2.610804525116289e-11
1.8.51,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.448481314601015e-05,1.7835581556162161e-06,4.2707676534362777e-07,0.5733742857170672,2.1789630884878968e-07
1.8.51,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.319050769942828e-05,2.1655783729123773e-06,5.224659706785886e-07,0.5606429062107083,2.6656427075438195e-07
1.8.51,JSC,[coll arr] (array-reduce coll + 0),1.1474945357403073e-05,3.375883790329493e-07,8.14463435484252e-08,0.7097754369338238,4.1554256912461833e-08
1.8.51,JSC,[coll arr] (array-reduce coll sum 0),3.4325185494717996e-05,7.530402049218219e-07,1.8167796951877024e-07,0.5292847420933153,9.26928415912093e-08
1.8.40,V8,[x 1] (identity x),1.024062094055162e-08,4.908180222040719e-10,1.2025041543999762e-10,1.1742492583024973,6.135225277550899e-11
1.8.40,V8,[] (symbol (quote foo)),2.875684413631184e-08,3.0291561841619248e-09,7.66482268348929e-10,2.665390766510003,3.9106238181067804e-10
1.8.40,V8,[coll (seq arr)] (ci-reduce coll + 0),0.0001194792772605179,3.14439310168758e-06,7.703763099134571e-07,0.6447781804318203,3.930491377109475e-07
1.8.40,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018509861680327867,4.296894856591298e-06,1.4887981106592391e-06,0.8043269778949899,7.595908727853261e-07
1.8.40,V8,[coll arr] (array-reduce coll + 0),1.4344586859554874e-05,3.740341625029629e-07,9.163836981322591e-08,0.6388358947555602,4.675427031287036e-08
1.8.40,V8,[coll arr] (array-reduce coll sum 0),8.612663970023416e-05,2.653473851774105e-06,6.501010936846556e-07,0.7548199905944876,3.316842314717631e-07
1.8.40,SM,[x 1] (identity x),8.811071215060173e-10,2.6795289047014783e-11,6.616742638472775e-12,0.7509577980896602,3.37588910126162e-12
1.8.40,SM,[] (symbol (quote foo)),1.3124189269366269e-09,2.517573316909608e-10,6.424098517479711e-11,4.894853606290542,3.277601284428424e-11
1.8.40,SM,[coll (seq arr)] (ci-reduce coll + 0),5.3052006440685075e-05,3.5218685578808904e-06,9.063902347788638e-07,1.708493788622784,4.6244399733615503e-07
1.8.40,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00010404612664738029,2.2570186512544556e-06,6.194498202597494e-07,0.595360769516302,3.160458266631374e-07
1.8.40,SM,[coll arr] (array-reduce coll + 0),1.1707249167662372e-05,3.0694979741125714e-07,7.462197584206851e-08,0.6373997407366068,3.8072436654116586e-08
1.8.40,SM,[coll arr] (array-reduce coll sum 0),8.768060572381217e-05,2.094636015469959e-06,5.344888282402824e-07,0.6095861494432249,2.7269838175524613e-07
1.8.40,JSC,[x 1] (identity x),8.70066543317496e-10,1.912992712033843e-11,4.580701431061985e-12,0.5264771374378018,2.3370925668683598e-12
1.8.40,JSC,[] (symbol (quote foo)),7.168100549213714e-09,1.3465177503923712e-10,3.273493447075686e-11,0.4566751574703794,1.670149717895758e-11
1.8.40,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.451199236728822e-05,1.618372909775584e-06,3.875228095312167e-07,0.5200811268352885,1.9771571914857996e-07
1.8.40,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.306105144149243e-05,2.103622593188485e-06,5.413895904376105e-07,0.5817574399296173,2.7621917879469923e-07
1.8.40,JSC,[coll arr] (array-reduce coll + 0),1.1403267808790295e-05,2.3972173863567894e-07,5.740187635412671e-08,0.5033809370843508,2.928667160924832e-08
1.8.40,JSC,[coll arr] (array-reduce coll sum 0),3.428369541306418e-05,8.625802942486217e-07,2.0654667231166263e-07,0.6024632695603629,1.0538095526105237e-07
1.8.34,V8,[x 1] (identity x),1.0310132042963035e-08,5.398276618773184e-10,1.32257777159943e-10,1.2827942126135308,6.74784577346648e-11
1.8.34,V8,[] (symbol (quote foo)),2.751360763043351e-08,3.7527289347325126e-09,9.341302205643046e-10,3.3951571640901026,4.765970513083187e-10
1.8.34,V8,[coll (seq arr)] (ci-reduce coll + 0),0.00011678100498930861,2.099664228970173e-06,6.067740583281393e-07,0.5195828365954633,3.0957860118782617e-07
1.8.34,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018384989754098365,3.056507800590042e-06,1.0590259223479312e-06,0.5760274748653881,5.403193481366996e-07
1.8.34,V8,[coll arr] (array-reduce coll + 0),1.4288454161871887e-05,3.298765067991041e-07,7.958578247947319e-08,0.5569936508026485,4.060499106095571e-08
1.8.34,V8,[coll arr] (array-reduce coll sum 0),8.581362536952431e-05,2.088553918457027e-06,5.241273774900891e-07,0.6107740760667439,2.674119272908618e-07
1.8.34,SM,[x 1] (identity x),8.781124773140603e-10,2.4564849546904044e-11,5.9719134037971985e-12,0.6800852462618318,3.046894593774081e-12
1.8.34,SM,[] (symbol (quote foo)),1.314763144119643e-09,2.432202909214963e-10,6.259532204801106e-11,4.7609580727884255,3.193638880000564e-11
1.8.34,SM,[coll (seq arr)] (ci-reduce coll + 0),4.27854198822871e-05,4.912355284494217e-06,1.2642467447192246e-06,2.9548541260024304,6.450238493465432e-07
1.8.34,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00010450819672131148,2.5839180764177214e-06,7.091689681488691e-07,0.6785773656012708,3.6182090211677e-07
1.8.34,SM,[coll arr] (array-reduce coll + 0),1.163255002753809e-05,3.3921879822266646e-07,8.246683066622864e-08,0.708931665636532,4.207491360521869e-08
1.8.34,SM,[coll arr] (array-reduce coll sum 0),8.731215846994536e-05,2.092924203506358e-06,5.29582891556897e-07,0.6065396856947367,2.7019535283515156e-07
1.8.34,JSC,[x 1] (identity x),8.717040790162535e-10,1.9515364401117647e-11,4.67299520157891e-12,0.5360758672659347,2.384181225295362e-12
1.8.34,JSC,[] (symbol (quote foo)),7.215862115459003e-09,1.9626181819760622e-10,4.808414545841352e-11,0.6663672987237351,2.4532727274700777e-11
1.8.34,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.462616838541294e-05,1.9342360235923733e-06,4.666524722578452e-07,0.6253201555890963,2.3808799604992102e-07
1.8.34,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.277840587902773e-05,2.0863434637608893e-06,5.369426231754147e-07,0.5787366339054429,2.739503179466402e-07
1.8.34,JSC,[coll arr] (array-reduce coll + 0),1.1440795045719966e-05,3.314965049287775e-07,7.937753787388365e-08,0.693811378987853,4.0498743813205944e-08
1.8.34,JSC,[coll arr] (array-reduce coll sum 0),3.4255389218624524e-05,7.642856196836847e-07,1.8439103066341887e-07,0.5382832741633721,9.4077056460928e-08
1.7.228,V8,[x 1] (identity x),1.0376788079132392e-08,4.804698350734048e-10,1.1959867094520267e-10,1.1525596363070603,6.101973007408299e-11
1.7.228,V8,[] (symbol (quote foo)),2.73078287587869e-08,2.3168532901878112e-09,5.676290560960138e-10,2.0786312273668646,2.896066612734764e-10
1.7.228,V8,[coll (seq arr)] (ci-reduce coll + 0),0.0001173836372917537,3.2178042775474595e-06,7.76325279357863e-07,0.661357321402751,3.9608432620299135e-07
1.7.228,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018308145491803275,2.734907339147368e-06,9.475970474597007e-07,0.5175822138205908,4.834678813569902e-07
1.7.228,V8,[coll arr] (array-reduce coll + 0),1.430126025920784e-05,3.687640078043406e-07,9.034718191206344e-08,0.6317427994074408,4.609550097554257e-08
1.7.228,V8,[coll arr] (array-reduce coll sum 0),8.618510928961744e-05,1.9430313615178836e-06,4.916547694820758e-07,0.5704637071700094,2.508442701439162e-07
1.7.228,SM,[x 1] (identity x),8.7871452991453e-10,2.5102865297687574e-11,6.102709379869566e-12,0.6945042072381754,3.1136272346273297e-12
1.7.228,SM,[] (symbol (quote foo)),1.3056227773406467e-09,2.3667307743388193e-10,6.039193201081068e-11,4.625526841207519,3.081221020959729e-11
1.7.228,SM,[coll (seq arr)] (ci-reduce coll + 0),6.484375e-05,1.9816733024840916e-06,4.855099591086024e-07,0.7487382501915796,2.4770916281051144e-07
1.7.228,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00010925476748076279,2.6180056251257265e-06,7.330415750352034e-07,0.6709469910905946,3.740008035893895e-07
1.7.228,SM,[coll arr] (array-reduce coll + 0),1.1683817082737307e-05,2.851933574045605e-07,6.933280948886866e-08,0.5934088919562684,3.537388239227993e-08
1.7.228,SM,[coll arr] (array-reduce coll sum 0),8.71676656622399e-05,2.3509504372031254e-06,5.759828571147657e-07,0.6607758194955028,2.938688046503907e-07
1.7.228,JSC,[x 1] (identity x),8.660354656675029e-10,1.465916671010525e-11,3.484262757336238e-12,0.40232333379681146,1.7776850802735909e-12
1.7.228,JSC,[] (symbol (quote foo)),6.9277289751710735e-09,1.6630156622106125e-10,4.074388372416e-11,0.5881275648944375,2.0787695777632656e-11
1.7.228,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.485376816209506e-05,1.9887050122514414e-06,4.7979362354916e-07,0.6409745766040421,2.447926650761021e-07
1.7.228,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.384886396318673e-05,2.660974764440603e-06,6.908112466596819e-07,0.7360890878025549,3.524547176835112e-07
1.7.228,JSC,[coll arr] (array-reduce coll + 0),1.1491354707996865e-05,2.7281725381766697e-07,6.532666732704623e-08,0.5684853438697287,3.3329932309717464e-08
1.7.228,JSC,[coll arr] (array-reduce coll sum 0),4.377613916936773e-05,3.4427235268076773e-06,8.937597467064272e-07,2.0416595973631084,4.559998707685853e-07
1.7.189,V8,[x 1] (identity x),1.0240635334288979e-08,5.09739820332204e-10,1.2587351447493736e-10,1.2291572775125765,6.422118085455987e-11
1.7.189,V8,[] (symbol (quote foo)),2.6704693181654393e-08,8.055447202149629e-10,1.9583443012033818e-10,0.7333333837172584,9.991552557160111e-11
1.7.189,V8,[coll (seq arr)] (ci-reduce coll + 0),0.0001172576275179644,3.0141772164422755e-06,7.327708352506633e-07,0.6249238115775448,3.738626710462568e-07
1.7.189,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00018399656266525637,4.070724732597152e-06,1.4929546874247186e-06,0.8114035750444102,7.311237450659739e-07
1.7.189,V8,[coll arr] (array-reduce coll + 0),1.432906787343958e-05,3.5929852411030914e-07,8.734837426958037e-08,0.6095886699754538,4.4565497076316516e-08
1.7.189,V8,[coll arr] (array-reduce coll sum 0),8.599838753023381e-05,2.156260101922661e-06,5.41118398916973e-07,0.6292192382406426,2.7608081577396583e-07
1.7.189,SM,[x 1] (identity x),8.793962848652642e-10,2.1713137681529103e-11,5.27863920807771e-12,0.6002571649351999,2.6931832694274033e-12
1.7.189,SM,[] (symbol (quote foo)),1.3032684410535815e-09,2.377253574462064e-10,6.066044258095946e-11,4.654485650854912,3.09492053984487e-11
1.7.189,SM,[coll (seq arr)] (ci-reduce coll + 0),5.9146540090278746e-05,1.6693357323333819e-06,4.333734816869653e-07,0.732711467188922,2.2110891922804353e-07
1.7.189,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00011351605191256831,2.6479418309406098e-06,7.491070651570956e-07,0.6599128956088682,3.8219748222300794e-07
1.7.189,SM,[coll arr] (array-reduce coll + 0),1.1706870656323946e-05,2.998015043745732e-07,7.462666509562117e-08,0.637460404974309,3.8074829130418963e-08
1.7.189,SM,[coll arr] (array-reduce coll sum 0),8.740275076410114e-05,2.237125811892634e-06,5.708479874276912e-07,0.6531235944374363,2.9124897317739347e-07
1.7.189,JSC,[x 1] (identity x),8.731000945901681e-10,1.9949899082637818e-11,4.7770454483448414e-12,0.5471360589632257,2.4372680858902252e-12
1.7.189,JSC,[] (symbol (quote foo)),6.92248337477927e-09,1.7462471226795368e-10,4.1814255974564923e-11,0.6040354842440949,2.1333804068655575e-11
1.7.189,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.471475640964842e-05,1.8855956740331116e-06,4.549175344857945e-07,0.6088724053272132,2.3210078290091557e-07
1.7.189,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.34052110057519e-05,2.289461710676105e-06,5.523539807941423e-07,0.5913524254659929,2.8181325550721546e-07
1.7.189,JSC,[coll arr] (array-reduce coll + 0),1.145960760062807e-05,3.1634021129836504e-07,7.63200250002485e-08,0.6659916086137678,3.893878826543291e-08
1.7.189,JSC,[coll arr] (array-reduce coll sum 0),4.3877251900519656e-05,3.84889238582533e-06,9.99204570761837e-07,2.2772724532230857,5.097982503886924e-07
1.7.170,V8,[x 1] (identity x),1.0342843149980167e-08,5.528840669541413e-10,1.354565964037646e-10,1.3096649967472858,6.911050836926766e-11
1.7.170,V8,[] (symbol (quote foo)),2.7344265111081818e-08,3.5244296787255626e-09,8.634852712877628e-10,3.1578295038465596,4.4055370984069533e-10
1.7.170,V8,[coll (seq arr)] (ci-reduce coll + 0),0.0002900114810562569,8.251977986263604e-06,2.006122522749906e-06,0.6917390013124188,1.023531899362197e-06
1.7.170,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.0002933185634328355,6.960641340973503e-06,1.7053571285385081e-06,0.5814010230310579,8.700801676216879e-07
1.7.170,V8,[coll arr] (array-reduce coll + 0),0.00019067292437863556,2.5285429232808668e-06,9.273532988948367e-07,0.48635814545609624,4.541397154235244e-07
1.7.170,V8,[coll arr] (array-reduce coll sum 0),0.00019183743169398905,3.3029255964848487e-06,1.2331942061283111e-06,0.642832942058696,6.030289516519859e-07
1.7.170,SM,[x 1] (identity x),8.773447554617132e-10,2.260154844841364e-11,5.537379369861342e-12,0.6311520454632717,2.825193556051705e-12
1.7.170,SM,[] (symbol (quote foo)),1.309477185711311e-09,2.4191180626842245e-10,6.172869983852032e-11,4.713995823072637,3.149423461148996e-11
1.7.170,SM,[coll (seq arr)] (ci-reduce coll + 0),5.8960584495520456e-05,1.5121638753342007e-06,3.7048014945687917e-07,0.6283522333212733,1.890204844167751e-07
1.7.170,SM,[coll (seq arr)] (ci-reduce coll sum 0),0.00010684426229508196,2.6912985795225312e-06,7.45989906505017e-07,0.6982030578719761,3.8060709515562093e-07
1.7.170,SM,[coll arr] (array-reduce coll + 0),1.1685700573561408e-05,3.233157225964117e-07,7.921235203612086e-08,0.6778571086729428,4.041446532455146e-08
1.7.170,SM,[coll arr] (array-reduce coll sum 0),8.759131999042308e-05,1.9314177451411785e-06,4.769380962659308e-07,0.544503834761341,2.433357634009851e-07
1.7.170,JSC,[x 1] (identity x),8.715038142620233e-10,2.327201254130282e-11,5.572532528798907e-12,0.6394157360650963,2.843128841223932e-12
1.7.170,JSC,[] (symbol (quote foo)),6.900063954290618e-09,1.5232461735841684e-10,3.761455190112138e-11,0.5451333806512298,1.91910979087354e-11
1.7.170,JSC,[coll (seq arr)] (ci-reduce coll + 0),7.71434225513957e-05,1.7650681308069787e-06,4.258391410862244e-07,0.5520096555250905,2.172648679011349e-07
1.7.170,JSC,[coll (seq arr)] (ci-reduce coll sum 0),9.889192471159682e-05,2.2050661138704895e-06,5.881401212803152e-07,0.5947301794312689,3.000714904491404e-07
1.7.170,JSC,[coll arr] (array-reduce coll + 0),1.428942002750219e-05,3.8810907601943076e-07,9.293353752718844e-08,0.650366056483213,4.7415070166932877e-08
1.7.170,JSC,[coll arr] (array-reduce coll sum 0),4.0011541040877126e-05,1.0255527520836901e-06,2.4557077136508236e-07,0.6137498456112926,1.2529120988014407e-07
1.7.166,V8,[x 1] (identity x),1.050629229400528e-08,6.421374570592316e-10,1.5856736176382677e-10,1.5092609012439406,8.090171518562591e-11
1.7.166,V8,[] (symbol (quote foo)),2.818434675208119e-08,3.5295192933927776e-09,8.857409304583831e-10,3.1426697175196305,4.5190863798897094e-10
1.7.166,V8,[coll (seq arr)] (ci-reduce coll + 0),0.00028857634902410993,7.264057976790907e-06,1.7659511862560903e-06,0.6119528479128928,9.009955031918828e-07
1.7.166,V8,[coll (seq arr)] (ci-reduce coll sum 0),0.00029447652757078974,4.308376442614842e-06,1.9105818033018513e-06,0.6488061439268918,9.185489438951208e-07
1.7.166,V8,[coll arr] (array-reduce coll + 0),0.00019100343733474343,2.733617227589594e-06,1.0025651257806948e-06,0.524893760955541,4.909721477868242e-07
1.7.166,V8,[coll arr] (array-reduce coll sum 0),0.0001948460820895522,7.377367551911862e-06,1.8074550502184062e-06,0.9276322268505718,9.221709439889827e-07
1.7.166,SM,[x 1] (identity x),8.914637060786396e-10,3.4363594530321076e-11,8.419080659928664e-12,0.944410928063737,4.2954493162901345e-12
1.7.166,SM,[] (symbol (quote foo)),1.3360175976760336e-09,2.351578851722725e-10,6.104894867421355e-11,4.569471897706029,3.11474227929661e-11
1.7.166,SM,[coll (seq arr)] (ci-reduce coll + 0),6.007625337023268e-05,1.6034541690840518e-06,4.091538260782005e-07,0.6810574946421893,2.0875195208071454e-07
