Version,Engine,Section,Name,Mean,Deviation,MOE,RME,SEM
1.7.189,JSC,identity,[x 1] (identity x),1.8620924470083916e-09,1.3035523426362164e-10,3.384130623621231e-11,1.8173805651046604,1.7265972569496074e-11
1.7.189,JSC,symbol construction,[] (symbol (quote foo)),7.241228407010855e-09,7.539728742001495e-11,1.8329689766420126e-11,0.2531295622255691,9.35188253388782e-12
1.7.189,JSC,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll + 0),0.00011569330601092899,5.915474069565847e-07,1.6734972677595654e-07,0.14464944649446512,8.538251366120232e-08
1.7.189,JSC,array-reduce & ci-reduce,[coll (seq arr)] (ci-reduce coll sum 0),0.00012824056423942046,1.8201062215078532e-05,5.440246494015162e-06,4.242219711275147,2.7756359663342667e-06
1.7.189,JSC,array-reduce & ci-reduce,[coll arr] (array-reduce coll + 0),1.8196530876538998e-05,1.3339744206735167e-07,3.1942299096804704e-08,0.17554059789488932,1.629709137592077e-08
1.7.189,JSC,array-reduce & ci-reduce,[coll arr] (array-reduce coll sum 0),2.6036052221823e-05,1.792949022994706e-07,4.230575674381276e-08,0.16248913769020928,2.158456976725141e-08
1.7.189,JSC,instance?,[coll []] (instance? PersistentVector coll),1.6726507546035854e-09,1.8999958734259698e-10,4.654989889893626e-11,2.7830016978032264,2.3749948417824622e-11
1.7.189,JSC,satisfies?,[coll (list 1 2 3)] (satisfies? ISeq coll),4.4058286699786144e-09,5.804242310666115e-11,1.4332809589636012e-11,0.3253147288114039,7.312657953895925e-12
1.7.189,JSC,satisfies?,[coll [1 2 3]] (satisfies? ISeq coll),6.201924084406271e-09,7.981219452884819e-11,1.9111198458555585e-11,0.30814950648311845,9.750611458446727e-12
1.7.189,JSC,array & string ops,[coll (array 1 2 3)] (seq coll),2.1351137581449794e-08,3.3427647760004303e-10,8.004320819836912e-11,0.3748896652134916,4.083837152978017e-11
1.7.189,JSC,array & string ops,"[coll ""foobar""] (seq coll)",2.2387013031449362e-08,1.9431436466175443e-10,4.6185592769041014e-11,0.2063052927344944,2.3564077943388272e-11
1.7.189,JSC,array & string ops,[coll (array 1 2 3)] (first coll),3.160575257377539e-08,2.934939691925702e-10,7.027775047083841e-11,0.22235746580244628,3.585599513818286e-11
1.7.189,JSC,array & string ops,"[coll ""foobar""] (first coll)",3.9186599762166036e-08,7.169117748374795e-10,1.7166603784139943e-10,0.4380733181324396,8.758471318438746e-11
1.7.189,JSC,array & string ops,[coll (array 1 2 3)] (nth coll 2),1.087198534461142e-08,7.026705691379586e-11,1.6825595107434178e-11,0.15476101718416682,8.584487299711316e-12
1.7.189,JSC,array & string ops,"[coll ""foobar""] (nth coll 2)",1.3729365976451549e-08,1.0210826944514382e-10,2.409308660355983e-11,0.17548579187767313,1.229239112426522e-11
1.7.189,JSC,cloning & specify,[coll [1 2 3]] (clone coll),1.9872491559118774e-08,4.391823061759984e-10,1.0516313030061917e-10,0.5291894576367984,5.3654658316642435e-11
1.7.189,JSC,cloning & specify,[coll [1 2 3]] (specify coll IFoo (foo [_] :bar)),5.0372929778692216e-08,9.495118194453436e-10,2.3263039576410915e-10,0.4618162905873146,1.1868897743066794e-10
1.7.189,JSC,cloning & specify,[coll (specify [1 2 3] IFoo (foo [_] :bar))] (foo coll),5.9390212755381455e-09,2.01418730493475e-09,4.752601276790285e-10,8.002330781951347,2.424796569790962e-10
1.7.189,JSC,list ops,[coll (list 1 2 3)] (first coll),6.477556659319532e-09,4.1955773459557624e-11,9.972254345098665e-12,0.15395086248687867,5.087884869948299e-12
1.7.189,JSC,list ops,[coll (list 1 2 3)] (-first coll),8.81443090302044e-09,8.87021893512929e-11,2.0929837921836424e-11,0.23744967941905812,1.0678488735630828e-11
1.7.189,JSC,list ops,[coll (list 1 2 3)] (rest coll),2.363444628538091e-09,9.392439974819192e-11,2.232441273910832e-11,0.9445710074839827,1.1390006499545061e-11
1.7.189,JSC,list ops,[coll (list 1 2 3)] (-rest coll),6.221010664833933e-09,5.247682844997243e-11,1.2472950380277714e-11,0.20049717083406854,6.363750194019242e-12
1.7.189,JSC,list ops,[] (list),0.0,0.0,nan,0.0,nan
1.7.189,JSC,list ops,[] (list 1 2 3),7.662644067796608e-08,7.047403435876155e-10,1.7982878059760967e-10,0.23468241380722177,9.17493778559233e-11
1.7.189,JSC,vector ops,[] [],1.902494824447334e-09,3.2703420164433487e-11,7.890004986400838e-12,0.4147188673006166,4.025512748163693e-12
1.7.189,JSC,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count [a b c]),3.3808372254596624e-08,6.274937948387194e-10,1.513887277024759e-10,0.4477847278846527,7.72391467869775e-11
1.7.189,JSC,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vec (array a b c))),3.9943751386854387e-08,5.932040920778107e-10,1.4421270775148312e-10,0.36103946861371655,7.357791211810364e-11
1.7.189,JSC,vector ops,[[a b c] (take 3 (repeatedly (fn* [] (rand-int 10))))] (-count (vector a b c)),2.9525382881834336e-08,5.664099593204584e-10,1.3462710164037948e-10,0.45597072247692877,6.868729675529566e-11
